id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23313300,★★ Lovely Budget Studio ★★ Jordan TST,119173079,Maya,Yau Tsim Mong,22.3052018,114.172336,Entire home/apt,478,1,63,11/11/2018,7.5,1,103
23618480,Cozy Studio in Tsim Sha Tsui,176705964,Palmyre,Yau Tsim Mong,22.30166469,114.1761103,Entire home/apt,478,1,55,11/11/2018,6.88,1,126
23531374,★★ SIGNATURE STUDIO ★★ Tsim Sha Tsui,49844407,Dani,Yau Tsim Mong,22.29896833,114.175066,Entire home/apt,548,1,54,11/11/2018,6.38,1,122
24846326,"銅鑼灣地鐵站旁, 新装兩房, 崇光百貨步行3分鐘, 時代廣場步行5分鐘",149713942,Ryan,Wan Chai,22.28183007,114.1832291,Entire home/apt,901,1,53,11/11/2018,9.64,1,13
23908681,Good room,160947102,Sunny,Eastern,22.28910082,114.1967125,Private room,353,2,48,11/11/2018,6.34,1,59
20582542,Times Square/CausewayBay/HappyValley-Modern studio,147043347,Anja & Alex,Wan Chai,22.27654999,114.1839559,Entire home/apt,697,4,47,11/11/2018,3.2,1,99
22949667,摩登@部屋 Somewhere In Time ! For 1 to 6 persons,129082030,茱迪,Yau Tsim Mong,22.29664518,114.1728857,Entire home/apt,1199,1,43,11/11/2018,5.35,1,14
17896599,"Bright, quiet, stylish, comfy, 1 min to metro!",3398820,Yin,Central & Western,22.28615211,114.1424064,Entire home/apt,611,3,39,11/11/2018,2,1,28
11802666,Single Bed Room in a cozy house,45491293,Jim,Yuen Long,22.45385579,114.0252722,Private room,282,1,39,11/11/2018,2.68,1,254
23241988,Bright bedroom next to Kowloon Park/Jordan,108214825,Ning & Thibault,Yau Tsim Mong,22.3039363,114.1688577,Private room,353,3,38,11/11/2018,4.25,1,24
21747078,Luxury Designer Studio-5 min MTR & 10 min CBD,97630639,Tina,Central & Western,22.28389366,114.1324571,Entire home/apt,799,2,37,11/11/2018,3.3,1,320
3458287,5/FL walk-up luxury studio + roof,17428879,Toni,Sai Kung,22.38224374,114.2737738,Entire home/apt,1097,2,35,11/11/2018,1,1,193
23080152,Spacious and convenient in Causeway Bay,49541904,Eric,Wan Chai,22.28133342,114.1865531,Entire home/apt,1018,2,31,11/11/2018,3.48,1,48
17912796,Spacious home in Soho & Noho area,122791658,See,Central & Western,22.28520113,114.152702,Entire home/apt,893,2,30,11/11/2018,1.55,1,314
18795543,Bright and cozy room in Wanchai,15593924,Cynthia & Ivan,Wan Chai,22.27637015,114.17094,Private room,603,2,30,11/11/2018,2.08,1,22
22736372,⭐⭐⭐⭐⭐ Luxury - Downtown HK - Stunning Views,167858461,Lindsay,Yau Tsim Mong,22.29590658,114.1749838,Entire home/apt,1700,3,27,11/11/2018,2.8,1,29
23737305,温馨舒适方便的民宿,177983715,Bernard,Wan Chai,22.27846464,114.1788551,Entire home/apt,1199,1,25,11/11/2018,3.21,1,220
13167606,Stylish Spacious Private Bedroom near Causeway Bay,41436486,Brian,Eastern,22.28693727,114.1930954,Private room,572,1,25,11/11/2018,2.04,1,27
20364521,Cozy 4 bedroom apt in the heart of Causeway Bay,145260447,WendyChan,Wan Chai,22.27853597,114.1808087,Entire home/apt,799,3,24,11/11/2018,1.68,1,28
23315645,[Best Deal] Newly cosy studio. 2min to MTR,88492446,Nikky,Eastern,22.29033712,114.2001446,Entire home/apt,431,3,21,11/11/2018,2.47,1,32
23950617,"坚尼地城地铁站,一房一厅温馨400尺山景房｡Near to MTR Kennedy Town",27387412,Yang,Central & Western,22.27947239,114.1280199,Entire home/apt,650,2,21,11/11/2018,2.88,1,80
26940736,QuietLowrise@Happy Valley near CWB安靜跑馬地養和醫院隔壁､近銅鑼灣,202706601,Sharon Fung,Wan Chai,22.26768623,114.1837452,Entire home/apt,1003,1,18,11/11/2018,5,1,52
21486081,Cozy Cozy09,49453472,Maria,Wan Chai,22.27817401,114.1768957,Entire home/apt,501,1,17,11/11/2018,1.37,1,34
26406299,青年公寓(同坚尼地城小苑),104874923,Tao,Central & Western,22.28193775,114.1307702,Private room,313,1,17,11/11/2018,3.92,1,82
16677842,Hong Kong Farm Stay (Bed & Breakfast),27442843,Jacob & Iris’,Tai Po,22.45091851,114.1375773,Private room,251,1,17,11/11/2018,0.76,1,84
16480751,Bright & Cosy 1 BR flat at Po Hing Fong,10171897,Simona,Central & Western,22.28484268,114.1464256,Entire home/apt,1199,2,15,11/11/2018,0.66,1,24
27303886,Experience HK City Life with Comfort,78606307,Claire,Wan Chai,22.28480607,114.1921673,Private room,353,1,15,11/11/2018,4.69,1,246
28559109,Homey Private Room Mong Kok,215535740,Jerson,Yau Tsim Mong,22.31742648,114.1675306,Private room,118,1,15,11/11/2018,9.78,1,118
27689469,"Cozy Independent Studio in Quarry Bay, H.K.",48555652,Y.T.,Eastern,22.28543998,114.2116938,Private room,321,2,14,11/11/2018,4.62,1,23
26083809,Harbor View @Causeway Bay 铜锣湾温馨海景家,195980450,Yip,Eastern,22.28825325,114.1908316,Entire home/apt,752,1,13,11/11/2018,2.62,1,54
24269789,地鐵2分鐘!新屋乾淨整潔有觀景陽台!Near MTR!,46115562,Ruki,Yuen Long,22.44393529,114.0337693,Entire home/apt,901,2,12,11/11/2018,1.69,1,293
22125894,LEAFY FLAT - QUIET & CENTRAL (TAI PING SHAN),28485290,Bridget,Central & Western,22.28552339,114.1486107,Entire home/apt,603,1,12,11/11/2018,1.46,1,67
25315522,遠眺日落的舒適房子,46674167,Alice,Islands,22.25360717,113.8624226,Entire home/apt,979,28,11,11/11/2018,2.89,1,176
27412103,Iris’ home & kitchen,151249602,Iris,Tsuen Wan,22.37512158,114.115451,Private room,400,1,11,11/11/2018,3.84,1,159
15934810,Newly furnished cozy room in Mong Kok centre,37154464,Kathy,Yau Tsim Mong,22.31601268,114.1695541,Private room,298,1,11,11/11/2018,0.46,1,347
24092849,"3 mins to Tsim Sha Tsui MTR~ 
尖沙咀中心地带､全新特色裝修､寛阔空間",167502341,Po Yee,Yau Tsim Mong,22.29579489,114.1695618,Entire home/apt,1998,2,10,11/11/2018,1.46,1,302
22440005,Massive Open Plan Designer's Loft & Studio,4053687,Laura,Central & Western,22.28748577,114.1470215,Entire home/apt,948,2,10,11/11/2018,1.83,1,0
25489228,Chinese Heaven(中天堂),186710006,Treasure,Tai Po,22.45167617,114.3365045,Entire home/apt,1003,1,9,11/11/2018,2.45,1,353
22347112,Large and Bright flat with Rooftop & BBQ,89510998,Simon,Central & Western,22.28324356,114.1484512,Entire home/apt,1199,3,7,11/11/2018,0.66,1,11
101765,Lamma Island flat 2min walk from the beach!,532909,Michael,Islands,22.200224,114.1346085,Entire home/apt,431,2,7,11/11/2018,0.95,1,98
28597454,"Superb Located, Cozy Apt in the heart of TST",215826961,Harry,Yau Tsim Mong,22.29859452,114.1687343,Entire home/apt,1003,1,7,11/11/2018,4.47,1,142
22661084,Modern 20th floor apartment in Sheung Wan,29340139,Morag,Central & Western,22.28442637,114.1522257,Entire home/apt,948,2,6,11/11/2018,0.68,1,11
27684858,"Modern home in trendy SOHO, with views of the city",19563113,Quynh,Central & Western,22.28199323,114.1533365,Entire home/apt,948,1,6,11/11/2018,3.46,1,77
26726412,Cozy studio flat just 2 minutes walk to MTR,200937248,Miu Yee,Eastern,22.28809934,114.1918908,Entire home/apt,799,2,5,11/11/2018,1.55,1,39
28838312,Sea View Luxury Flat in Prime Location,217461736,Christopher,Wan Chai,22.27283994,114.1916793,Entire home/apt,2381,1,5,11/11/2018,5,1,63
29385445,WZ~2超大床房1大廳~位於鬧市太子及旺角中心點~北歐ins風~大型投影儀~吊椅-華麗與舒適共存,68598599,Yan Wing,Yau Tsim Mong,22.3214571,114.1696324,Entire home/apt,901,1,5,11/11/2018,5,1,101
28897558,Quiet & minimalist place in Hong Kong near Airport,217841121,Gladys,Islands,22.27785496,113.93605,Private room,400,1,4,11/11/2018,3.16,1,340
29319099,"旺角地鐵站B2,旺角東火車站B出口(步行2-3分鐘)",220132180,Suki,Yau Tsim Mong,22.32142601,114.1700509,Private room,298,1,3,11/11/2018,3,1,336
29726653,Private room linked to TKO MTR and Malls,19781385,Victoria,Sai Kung,22.32154894,114.2566286,Private room,219,1,3,11/11/2018,3,1,48
28587299,Cute studio@Wanchai NO cleaning fee,92770423,Yoyo,Wan Chai,22.27942185,114.1773685,Entire home/apt,650,4,2,11/11/2018,1.03,1,32
29497354,Lovely bedroom for female only,221605817,Dearone,Yau Tsim Mong,22.32222514,114.1713374,Private room,251,1,2,11/11/2018,2,1,42
29068100,"Studio: Prime Location, Double Bad, 3min MTR",20595579,Kostiantyn,Wan Chai,22.27609913,114.184828,Entire home/apt,924,2,1,11/11/2018,1,1,22
28394362,Bright and Spacious 1bedroom (ideal location),10453463,Lucas,Central & Western,22.28454982,114.1522503,Entire home/apt,799,2,1,11/11/2018,1,1,163
29022648,Stylish & Comfortable Home for 3 to 4 guests,218734041,Simon,Yau Tsim Mong,22.31497855,114.1680508,Entire home/apt,729,2,1,11/11/2018,1,1,138
29357456,靜中帶旺銅鑼灣 Quite and located at heart of HK Island,218607400,Giselle,Wan Chai,22.27674535,114.1864106,Entire home/apt,721,1,1,11/11/2018,1,1,343
4697290,"Greek style house, you will love it 希臘風格屋 你會愛我這裡的",18701709,Echo,Eastern,22.28921106,114.1961126,Private room,423,2,175,10/11/2018,3.69,1,59
15791336,❤ Lovely Studio in Tsim Sha Tsui ❤,61757739,Emma,Yau Tsim Mong,22.2996912,114.1764792,Entire home/apt,501,1,169,10/11/2018,6.95,1,128
7026631,Private bedroom. 5 min to subway!,5347155,Marco,Yau Tsim Mong,22.3257916,114.1670527,Private room,306,3,127,10/11/2018,3.53,1,310
18013248,Cosy little home in HK near MTR Long Ping Station,38725750,Jennifer,Yuen Long,22.44268485,114.0246625,Private room,243,1,121,10/11/2018,6.48,1,192
19879282,♡Clean and Comfy Studio near MTR Station♡,140678631,Lucien,Yau Tsim Mong,22.29653378,114.1751189,Entire home/apt,384,1,114,10/11/2018,7.15,1,152
16799063,光亮 .整潔 .私人房間｡5分鐘到達黃大仙港鐵站｡與房東同住､客人互動｡,23443968,Lok,Wong Tai Sin,22.34418009,114.1955027,Private room,313,1,111,10/11/2018,5.12,1,61
19854806,★★★Cute and Comfy Studio in Tsim Sha Tsui★★★,140381661,Adrianna,Yau Tsim Mong,22.29798028,114.1752389,Entire home/apt,313,1,94,10/11/2018,5.88,1,166
11640892,New Luxury Modern Chic Apt Wanchai by MTR,16698382,Wanda,Wan Chai,22.27478055,114.1723523,Entire home/apt,1598,1,85,10/11/2018,3.59,1,2
21417316,☀5星级公寓超宽沙发床☀Queen Size Sofa Bed@5StarServiceApt,107827687,Cici,Kowloon City,22.30372544,114.1865268,Private room,274,1,77,10/11/2018,6.06,1,64
